,R_Dey1.jpg_persistence.pkl,R_Dey10.jpeg_persistence.pkl,R_Dey2.jpg_persistence.pkl,R_Dey3.jpeg_persistence.pkl,R_Dey4.jpg_persistence.pkl,R_Dey5.jpg_persistence.pkl,R_Dey6.jpg_persistence.pkl,R_Dey7.jpeg_persistence.pkl,R_Dey8.jpg_persistence.pkl,R_Dey9.jpg_persistence.pkl,R_Gen1.jpg_persistence.pkl,R_Gen10.jpg_persistence.pkl,R_Gen2.jpg_persistence.pkl,R_Gen3.jpg_persistence.pkl,R_Gen4.png_persistence.pkl,R_Gen5.jpeg_persistence.pkl,R_Gen6.jpg_persistence.pkl,R_Gen7.jpg_persistence.pkl,R_Gen8.jpg_persistence.pkl,R_Gen9.jpg_persistence.pkl,R_Goya1.jpg_persistence.pkl,R_Goya10.jpg_persistence.pkl,R_Goya2.jpg_persistence.pkl,R_Goya3.jpg_persistence.pkl,R_Goya4.jpg_persistence.pkl,R_Goya5.jpg_persistence.pkl,R_Goya6.jpg_persistence.pkl,R_Goya7.jpg_persistence.pkl,R_Goya8.jpg_persistence.pkl,R_Goya9.jpg_persistence.pkl,R_Klimt1.jpg_persistence.pkl,R_Klimt10.jpeg_persistence.pkl,R_Klimt2.jpg_persistence.pkl,R_Klimt3.jpg_persistence.pkl,R_Klimt4.jpg_persistence.pkl,R_Klimt5.jpg_persistence.pkl,R_Klimt6.jpg_persistence.pkl,R_Klimt7.jpg_persistence.pkl,R_Klimt8.jpg_persistence.pkl,R_Klimt9.jpg_persistence.pkl,R_Mithila1.jpg_persistence.pkl,R_Mithila10.jpg_persistence.pkl,R_Mithila2.jpg_persistence.pkl,R_Mithila3.jpg_persistence.pkl,R_Mithila4.jpeg_persistence.pkl,R_Mithila5.jpg_persistence.pkl,R_Mithila6.jpg_persistence.pkl,R_Mithila7.jpeg_persistence.pkl,R_Mithila8.jpeg_persistence.pkl,R_Mithila9.jpg_persistence.pkl,R_Raja1.jpg_persistence.pkl,R_Raja10.jpg_persistence.pkl,R_Raja2.jpg_persistence.pkl,R_Raja3.jpg_persistence.pkl,R_Raja4.jpg_persistence.pkl,R_Raja5.jpeg_persistence.pkl,R_Raja6.jpg_persistence.pkl,R_Raja7.jpg_persistence.pkl,R_Raja8.jpg_persistence.pkl,R_Raja9.jpg_persistence.pkl,R_Ren1.jpg_persistence.pkl,R_Ren10.jpg_persistence.pkl,R_Ren2.jpg_persistence.pkl,R_Ren3.jpg_persistence.pkl,R_Ren4.jpg_persistence.pkl,R_Ren5.jpg_persistence.pkl,R_Ren6.jpg_persistence.pkl,R_Ren7.jpg_persistence.pkl,R_Ren8.jpg_persistence.pkl,R_Ren9.jpeg_persistence.pkl,R_Robert1.jpg_persistence.pkl,R_Robert10.jpg_persistence.pkl,R_Robert2.jpg_persistence.pkl,R_Robert3.jpg_persistence.pkl,R_Robert4.jpg_persistence.pkl,R_Robert5.jpg_persistence.pkl,R_Robert6.jpg_persistence.pkl,R_Robert7.jpg_persistence.pkl,R_Robert8.jpg_persistence.pkl,R_Robert9.jpg_persistence.pkl,R_Sid1.jpeg_persistence.pkl,R_Sid10.jpg_persistence.pkl,R_Sid2.jpeg_persistence.pkl,R_Sid3.jpg_persistence.pkl,R_Sid4.jpg_persistence.pkl,R_Sid5.jpeg_persistence.pkl,R_Sid6.jpeg_persistence.pkl,R_Sid7.jpg_persistence.pkl,R_Sid8.jpg_persistence.pkl,R_Sid9.jpg_persistence.pkl,R_Vin1.jpg_persistence.pkl,R_Vin10.jpg_persistence.pkl,R_Vin2.jpg_persistence.pkl,R_Vin3.jpg_persistence.pkl,R_Vin4.jpg_persistence.pkl,R_Vin5.jpg_persistence.pkl,R_Vin6.jpg_persistence.pkl,R_Vin7.jpg_persistence.pkl,R_Vin8.jpeg_persistence.pkl,R_Vin9.jpg_persistence.pkl
R_Dey1.jpg_persistence.pkl,0.0,32.99999999999999,35.0,43.0,41.5,29.0,51.0,77.0,44.0,21.0,46.0,20.0,60.99999999999999,49.0,41.0,45.0,68.0,81.0,51.0,48.0,43.99999999999999,26.999999999999996,24.0,45.0,33.0,52.99999999999999,30.0,43.0,49.0,21.0,30.999999999999996,64.99999999999999,41.0,56.99999999999999,38.0,50.0,90.0,38.5,39.0,41.0,59.0,54.99999999999999,44.0,44.99999999999999,49.0,84.0,79.99999999999999,55.99999999999999,46.0,24.0,49.0,74.99999999999999,47.5,50.99999999999999,25.0,16.0,52.0,41.0,30.999999999999996,33.99999999999999,57.0,44.99999999999999,45.5,50.0,45.0,33.0,42.0,22.0,53.0,17.0,35.0,29.999999999999996,32.49999999999999,29.0,39.99999999999999,35.0,36.99999999999999,30.999999999999996,72.99999999999999,47.5,44.99999999999999,43.0,48.0,39.0,50.0,61.0,50.0,37.49999999999999,47.0,26.999999999999996,54.0,52.99999999999999,42.0,43.0,54.0,47.0,40.99999999999999,43.99999999999999,26.0,32.99999999999999
R_Dey10.jpeg_persistence.pkl,32.99999999999999,0.0,24.999999999999996,55.0,22.0,49.99999999999999,73.0,86.0,33.0,31.999999999999996,65.0,43.0,73.0,56.99999999999999,24.0,60.0,88.99999999999999,110.0,70.0,58.0,68.0,45.0,53.0,66.99999999999999,42.0,78.0,47.99999999999999,54.0,67.0,36.99999999999999,37.99999999999999,75.0,53.0,80.99999999999999,27.0,57.0,100.0,46.0,49.0,39.0,79.0,68.0,62.0,69.0,46.0,99.0,96.99999999999999,75.0,59.99999999999999,25.999999999999996,52.99999999999999,81.99999999999999,67.0,70.99999999999999,40.99999999999999,31.999999999999996,61.0,60.0,29.0,41.0,80.99999999999999,52.99999999999999,38.99999999999999,63.99999999999999,54.99999999999999,54.0,62.0,38.0,65.99999999999999,33.0,30.0,35.0,30.999999999999996,24.999999999999996,52.0,26.0,35.0,18.999999999999996,82.0,67.0,51.0,47.0,52.99999999999999,47.0,62.99999999999999,83.0,61.0,46.0,50.0,31.0,66.99999999999999,66.0,41.0,46.0,69.0,64.0,30.0,58.0,41.99999999999999,45.99999999999999
R_Dey2.jpg_persistence.pkl,35.0,24.999999999999996,0.0,49.99999999999999,21.0,49.0,74.0,97.99999999999999,39.0,30.0,64.0,51.0,79.99999999999999,67.0,19.0,68.0,91.0,115.99999999999999,65.99999999999999,74.0,58.0,35.0,41.99999999999999,77.99999999999999,48.49999999999999,83.0,48.0,62.0,66.0,41.0,31.0,82.99999999999999,46.99999999999999,79.99999999999999,36.0,56.0,111.99999999999999,45.0,48.0,37.0,78.99999999999999,65.0,67.99999999999999,68.0,43.99999999999999,114.0,95.0,81.0,70.0,30.0,57.0,93.0,54.0,67.0,50.0,31.0,71.0,52.99999999999999,31.0,38.99999999999999,88.0,44.0,38.99999999999999,60.49999999999999,71.0,52.99999999999999,67.99999999999999,41.0,57.0,32.0,28.999999999999996,34.0,32.5,29.0,48.99999999999999,21.0,34.0,36.0,90.0,66.0,48.0,41.0,47.99999999999999,38.99999999999999,61.99999999999999,77.0,57.99999999999999,50.0,42.0,30.0,73.0,71.99999999999999,40.0,45.0,72.99999999999999,51.0,37.99999999999999,58.0,45.0,55.0
R_Dey3.jpeg_persistence.pkl,43.0,55.0,49.99999999999999,0.0,52.0,33.0,56.0,87.99999999999999,66.49999999999999,35.0,42.0,35.99999999999999,55.99999999999999,53.0,58.0,66.5,72.0,80.99999999999999,49.0,49.0,34.0,27.999999999999996,35.0,44.99999999999999,61.99999999999999,64.0,43.0,46.0,60.0,32.0,28.0,74.0,40.99999999999999,66.0,38.99999999999999,50.0,89.0,35.0,33.99999999999999,27.999999999999996,62.0,48.0,58.0,34.99999999999999,35.0,82.99999999999999,89.0,62.0,50.0,39.0,33.99999999999999,60.99999999999999,24.0,61.0,43.0,32.0,46.0,42.99999999999999,30.0,25.0,69.0,39.0,30.999999999999996,50.0,55.0,42.0,56.99999999999999,33.0,47.0,45.99999999999999,44.99999999999999,41.0,41.0,38.0,39.0,41.0,46.99999999999999,38.0,81.99999999999999,47.99999999999999,25.0,32.99999999999999,27.999999999999996,28.999999999999996,46.0,66.0,42.0,37.0,31.0,42.0,59.0,67.0,30.0,26.0,54.0,33.0,33.0,47.99999999999999,28.999999999999996,41.0
R_Dey4.jpg_persistence.pkl,41.5,22.0,21.0,52.0,0.0,44.0,79.0,104.49999999999999,40.49999999999999,38.0,68.0,57.5,89.0,75.49999999999999,27.0,74.49999999999999,96.0,118.49999999999999,66.99999999999999,77.99999999999999,59.0,38.99999999999999,49.0,77.99999999999999,48.49999999999999,87.5,54.0,70.99999999999999,74.0,43.5,34.0,91.99999999999999,51.0,88.0,25.0,70.0,118.49999999999999,49.0,59.0,38.5,84.0,62.99999999999999,71.0,63.0,45.99999999999999,118.49999999999999,101.99999999999999,84.49999999999999,69.99999999999999,36.5,56.99999999999999,101.99999999999999,54.0,74.0,53.0,39.0,80.0,46.0,31.0,34.99999999999999,93.99999999999999,52.99999999999999,33.0,68.99999999999999,74.99999999999999,53.99999999999999,70.99999999999999,44.49999999999999,65.99999999999999,35.0,27.0,40.99999999999999,21.0,34.0,54.5,23.499999999999996,34.0,39.0,96.49999999999999,63.0,44.99999999999999,48.0,50.99999999999999,37.0,63.99999999999999,85.0,61.99999999999999,54.5,38.49999999999999,29.499999999999996,82.0,79.0,49.99999999999999,39.0,76.49999999999999,50.0,28.0,62.0,53.99999999999999,60.99999999999999
R_Dey5.jpg_persistence.pkl,29.0,49.99999999999999,49.0,33.0,44.0,0.0,44.99999999999999,73.0,65.49999999999999,21.0,31.0,34.0,50.99999999999999,38.0,59.0,55.0,62.0,98.0,35.0,44.0,28.999999999999996,37.0,16.999999999999996,56.0,44.99999999999999,57.0,27.999999999999996,37.99999999999999,37.0,19.999999999999996,31.0,62.99999999999999,28.999999999999996,51.0,38.0,46.99999999999999,82.0,37.5,30.999999999999996,35.0,47.0,47.0,50.0,38.99999999999999,44.0,88.0,65.99999999999999,62.99999999999999,49.0,37.0,32.0,63.0,39.0,35.0,20.0,28.0,40.0,51.99999999999999,31.0,24.5,69.0,36.0,41.0,39.99999999999999,43.99999999999999,26.5,38.0,31.0,42.0,30.0,46.99999999999999,45.0,42.0,43.0,48.0,49.99999999999999,49.0,53.0,70.99999999999999,40.0,37.99999999999999,34.0,35.0,35.99999999999999,39.0,46.99999999999999,42.5,32.0,42.99999999999999,43.5,42.0,44.99999999999999,35.5,27.999999999999996,55.0,36.0,41.99999999999999,34.0,27.999999999999996,33.0
R_Dey6.jpg_persistence.pkl,51.0,73.0,74.0,56.0,79.0,44.99999999999999,0.0,81.0,73.0,43.99999999999999,35.0,40.0,44.0,43.99999999999999,85.0,39.99999999999999,53.0,60.0,59.0,42.0,44.0,57.0,40.0,46.0,48.0,60.99999999999999,47.0,33.99999999999999,53.0,40.0,58.99999999999999,62.99999999999999,46.0,55.0,64.0,52.0,57.0,40.0,49.0,56.0,66.0,65.99999999999999,57.0,50.0,54.0,79.0,95.0,49.0,57.0,50.99999999999999,56.99999999999999,65.99999999999999,44.0,53.0,38.0,46.99999999999999,44.0,52.99999999999999,58.0,55.99999999999999,53.0,51.0,52.0,57.0,33.99999999999999,44.0,54.0,39.0,60.0,50.99999999999999,61.99999999999999,57.0,82.0,58.0,59.0,84.0,57.99999999999999,63.0,61.0,43.0,47.99999999999999,51.0,52.99999999999999,65.99999999999999,56.0,66.0,53.0,45.0,55.0,76.0,51.99999999999999,57.0,48.0,55.99999999999999,38.0,49.0,67.99999999999999,56.99999999999999,33.0,43.0
R_Dey7.jpeg_persistence.pkl,77.0,86.0,97.99999999999999,87.99999999999999,104.49999999999999,73.0,81.0,0.0,85.99999999999999,81.0,69.0,68.0,81.99999999999999,63.0,101.99999999999999,69.99999999999999,53.0,48.0,59.0,63.0,69.0,71.99999999999999,63.0,86.0,84.0,33.0,68.0,54.99999999999999,55.0,71.99999999999999,84.0,42.99999999999999,57.99999999999999,62.0,94.0,61.0,57.99999999999999,83.0,71.99999999999999,76.99999999999999,63.0,73.0,46.0,75.0,77.99999999999999,36.0,57.5,48.99999999999999,65.0,89.0,78.99999999999999,61.0,80.0,65.0,66.0,73.0,57.0,91.0,87.0,84.0,35.0,66.0,83.0,48.0,57.0,63.0,49.99999999999999,68.0,53.99999999999999,78.0,95.99999999999999,92.0,101.0,83.99999999999999,89.0,95.99999999999999,96.0,87.99999999999999,84.0,65.0,76.0,82.0,73.0,82.99999999999999,65.99999999999999,52.0,77.0,63.0,81.0,91.0,42.0,36.0,67.0,75.0,60.0,68.0,86.0,59.0,74.0,73.0
R_Dey8.jpg_persistence.pkl,44.0,33.0,39.0,66.49999999999999,40.49999999999999,65.49999999999999,73.0,85.99999999999999,0.0,45.49999999999999,84.99999999999999,52.0,73.0,57.99999999999999,39.5,53.0,92.0,91.0,82.49999999999999,59.0,77.49999999999999,54.49999999999999,61.0,52.0,27.0,84.0,56.0,45.99999999999999,73.0,47.0,45.49999999999999,72.99999999999999,61.99999999999999,89.0,43.99999999999999,76.0,96.99999999999999,65.99999999999999,65.0,46.99999999999999,86.0,81.49999999999999,62.0,84.49999999999999,54.99999999999999,97.0,100.5,71.0,66.5,38.5,66.49999999999999,80.0,74.99999999999999,73.99999999999999,55.99999999999999,41.5,76.0,69.99999999999999,40.0,57.49999999999999,70.99999999999999,60.99999999999999,53.99999999999999,79.0,53.0,71.49999999999999,66.99999999999999,52.5,74.49999999999999,41.0,46.99999999999999,55.0,43.0,39.5,65.99999999999999,37.5,52.99999999999999,39.5,80.0,83.49999999999999,64.99999999999999,57.5,67.99999999999999,56.49999999999999,81.99999999999999,86.0,73.99999999999999,57.99999999999999,58.49999999999999,48.99999999999999,74.99999999999999,72.99999999999999,61.0,62.99999999999999,57.99999999999999,70.99999999999999,40.99999999999999,65.99999999999999,41.99999999999999,56.0
R_Dey9.jpg_persistence.pkl,21.0,31.999999999999996,30.0,35.0,38.0,21.0,43.99999999999999,81.0,45.49999999999999,0.0,42.99999999999999,37.0,54.0,52.0,44.99999999999999,53.99999999999999,61.0,94.0,47.0,48.99999999999999,39.0,22.0,27.0,55.99999999999999,41.0,62.0,34.0,49.99999999999999,50.0,31.999999999999996,31.0,66.0,32.0,53.0,38.0,54.0,86.99999999999999,38.0,35.99999999999999,34.99999999999999,61.99999999999999,46.99999999999999,47.0,40.0,43.99999999999999,93.0,74.0,67.0,52.0,22.0,47.0,68.0,39.5,48.99999999999999,29.999999999999996,19.0,45.0,38.0,30.999999999999996,31.0,74.0,39.0,39.0,45.99999999999999,54.0,30.0,43.99999999999999,28.0,43.0,19.0,30.0,34.0,37.99999999999999,29.0,37.0,41.0,35.99999999999999,33.99999999999999,75.0,42.0,43.0,35.0,43.0,38.0,42.0,58.99999999999999,44.0,32.99999999999999,42.99999999999999,32.0,54.99999999999999,60.0,37.99999999999999,37.0,67.0,38.0,36.99999999999999,36.0,24.0,39.0
R_Gen1.jpg_persistence.pkl,46.0,65.0,64.0,42.0,68.0,31.0,35.0,69.0,84.99999999999999,42.99999999999999,0.0,33.0,30.999999999999996,36.0,75.0,58.0,38.0,76.0,45.0,36.0,33.0,39.0,32.0,38.99999999999999,60.0,52.0,40.99999999999999,41.0,34.0,40.0,52.0,51.0,42.5,53.0,50.0,40.0,60.0,41.99999999999999,35.0,46.0,55.0,55.0,45.0,46.99999999999999,46.0,75.5,86.0,43.0,52.0,49.0,40.0,46.0,35.0,35.0,31.0,50.0,33.99999999999999,60.0,47.0,39.0,48.0,41.0,43.0,48.5,46.0,36.0,44.99999999999999,37.0,56.49999999999999,44.0,50.0,51.99999999999999,61.0,62.99999999999999,46.0,67.99999999999999,58.0,75.0,51.0,35.99999999999999,39.0,39.0,38.0,44.99999999999999,46.0,51.99999999999999,45.0,40.99999999999999,43.99999999999999,54.99999999999999,37.99999999999999,45.99999999999999,40.0,38.0,41.0,41.0,57.0,49.0,42.99999999999999,34.99999999999999
R_Gen10.jpg_persistence.pkl,20.0,43.0,51.0,35.99999999999999,57.5,34.0,40.0,68.0,52.0,37.0,33.0,0.0,50.0,32.0,55.0,44.0,57.0,67.0,54.0,32.0,37.0,22.0,30.999999999999996,34.0,35.0,51.0,30.0,39.0,36.99999999999999,26.999999999999996,38.0,58.0,40.0,50.0,46.0,42.99999999999999,72.0,37.99999999999999,41.0,37.0,56.99999999999999,59.0,40.99999999999999,43.49999999999999,47.5,70.99999999999999,81.0,48.0,48.0,32.0,49.99999999999999,57.99999999999999,39.0,51.0,31.0,30.999999999999996,41.0,45.0,31.0,37.0,51.0,43.0,43.0,51.0,31.0,34.99999999999999,41.0,23.0,58.0,31.0,49.0,45.99999999999999,42.0,40.0,42.0,49.0,50.0,42.0,60.0,41.0,44.0,39.99999999999999,47.0,38.5,46.0,54.0,47.0,33.0,46.0,38.0,43.99999999999999,45.0,42.0,44.0,41.99999999999999,40.99999999999999,38.0,46.99999999999999,26.0,32.0
R_Gen2.jpg_persistence.pkl,60.99999999999999,73.0,79.99999999999999,55.99999999999999,89.0,50.99999999999999,44.0,81.99999999999999,73.0,54.0,30.999999999999996,50.0,0.0,43.0,88.0,60.0,41.0,54.0,36.99999999999999,36.0,48.99999999999999,61.0,46.0,46.0,56.0,64.0,41.0,43.99999999999999,46.0,50.0,66.0,66.0,52.0,41.99999999999999,74.0,34.0,70.0,47.99999999999999,36.0,66.0,54.0,43.99999999999999,51.0,37.0,54.0,70.0,86.0,47.0,42.0,61.0,67.0,43.0,54.0,36.99999999999999,42.0,50.0,34.0,63.0,68.0,59.0,53.0,35.99999999999999,61.0,50.0,42.0,37.0,48.0,49.0,43.99999999999999,61.0,71.99999999999999,57.99999999999999,92.0,58.0,58.99999999999999,85.0,66.0,63.0,69.0,36.0,57.0,43.99999999999999,48.0,67.99999999999999,42.0,55.0,37.0,44.0,64.0,84.99999999999999,46.99999999999999,57.0,49.0,66.0,47.0,42.0,73.99999999999999,40.5,35.0,43.0
R_Gen3.jpg_persistence.pkl,49.0,56.99999999999999,67.0,53.0,75.49999999999999,38.0,43.99999999999999,63.0,57.99999999999999,52.0,36.0,32.0,43.0,0.0,69.0,52.5,42.0,62.0,36.0,29.0,38.0,44.0,33.0,51.0,51.0,46.99999999999999,25.0,37.0,28.0,40.0,49.99999999999999,47.0,28.0,41.99999999999999,63.0,38.99999999999999,48.99999999999999,36.0,36.0,48.0,39.0,37.0,32.99999999999999,38.0,42.0,57.0,66.99999999999999,40.0,37.0,48.0,49.0,34.0,42.0,27.0,29.0,38.0,27.0,61.0,52.0,54.0,39.0,27.0,48.99999999999999,32.0,33.0,25.0,34.0,37.0,41.0,44.0,61.0,66.0,71.0,49.0,54.99999999999999,64.0,67.0,58.0,43.0,32.99999999999999,42.0,44.0,40.0,51.0,32.0,38.0,41.0,34.0,49.0,63.0,36.0,43.0,37.0,46.99999999999999,36.0,32.0,56.99999999999999,36.99999999999999,42.0,28.0
R_Gen4.png_persistence.pkl,41.0,24.0,19.0,58.0,27.0,59.0,85.0,101.99999999999999,39.5,44.99999999999999,75.0,55.0,88.0,69.0,0.0,72.0,101.0,117.0,77.99999999999999,75.0,74.0,50.99999999999999,58.0,73.0,46.0,86.0,56.0,64.99999999999999,80.99999999999999,48.99999999999999,44.0,86.0,57.99999999999999,95.0,33.0,72.99999999999999,114.0,55.99999999999999,63.99999999999999,44.0,91.0,76.99999999999999,70.0,77.99999999999999,52.0,117.0,102.0,84.0,70.99999999999999,38.0,59.0,95.0,73.0,78.0,49.99999999999999,37.99999999999999,78.0,65.0,37.0,45.99999999999999,93.0,58.0,47.5,72.99999999999999,73.0,63.0,67.99999999999999,50.0,72.0,40.0,39.0,47.99999999999999,36.0,32.0,55.0,29.0,44.0,36.0,94.0,76.0,60.0,55.0,62.0,55.0,73.0,91.0,70.99999999999999,53.0,56.0,33.99999999999999,78.0,80.0,55.0,55.5,76.0,69.0,39.49999999999999,64.0,54.0,57.0
R_Gen5.jpeg_persistence.pkl,45.0,60.0,68.0,66.5,74.49999999999999,55.0,39.99999999999999,69.99999999999999,53.0,53.99999999999999,58.0,44.0,60.0,52.5,72.0,0.0,76.0,50.0,74.99999999999999,51.49999999999999,55.0,52.0,59.99999999999999,50.99999999999999,51.0,66.99999999999999,56.0,37.0,55.0,43.0,56.0,55.0,60.5,63.0,63.0,61.99999999999999,73.99999999999999,55.0,53.5,47.0,69.0,76.0,49.99999999999999,63.99999999999999,53.0,79.5,89.5,56.99999999999999,65.0,55.99999999999999,66.49999999999999,74.99999999999999,56.0,67.5,46.99999999999999,48.0,62.99999999999999,63.0,55.99999999999999,57.5,52.0,59.99999999999999,58.0,65.99999999999999,35.0,50.0,58.0,44.0,70.49999999999999,48.0,66.0,54.0,57.0,56.0,65.99999999999999,65.99999999999999,64.99999999999999,49.0,55.0,54.0,61.5,57.49999999999999,62.5,56.5,66.0,69.99999999999999,66.0,58.0,58.49999999999999,55.0,53.99999999999999,51.99999999999999,52.99999999999999,62.99999999999999,52.99999999999999,59.0,49.0,65.5,39.99999999999999,55.0
R_Gen6.jpg_persistence.pkl,68.0,88.99999999999999,91.0,72.0,96.0,62.0,53.0,53.0,92.0,61.0,38.0,57.0,41.0,42.0,101.0,76.0,0.0,44.0,32.0,43.0,56.0,74.0,52.99999999999999,62.0,64.99999999999999,36.0,53.0,46.99999999999999,33.99999999999999,57.0,75.99999999999999,40.99999999999999,58.99999999999999,47.0,81.0,39.0,43.99999999999999,57.0,46.0,73.0,45.5,46.0,34.99999999999999,47.0,70.0,65.0,74.0,45.0,45.0,67.99999999999999,73.99999999999999,37.0,60.99999999999999,30.0,54.0,62.99999999999999,28.0,89.0,75.0,73.0,38.0,48.99999999999999,68.0,39.0,58.0,44.0,35.5,56.0,49.0,68.0,79.0,76.0,99.0,73.99999999999999,75.0,101.0,85.0,79.0,48.99999999999999,43.0,64.0,51.0,54.99999999999999,83.0,42.0,34.99999999999999,39.0,54.99999999999999,71.0,92.99999999999999,31.999999999999996,31.0,56.0,73.0,54.0,49.0,85.0,50.0,57.0,59.0
R_Gen7.jpg_persistence.pkl,81.0,110.0,115.99999999999999,80.99999999999999,118.49999999999999,98.0,60.0,48.0,91.0,94.0,76.0,67.0,54.0,62.0,117.0,50.0,44.0,0.0,75.0,55.0,72.0,83.0,84.0,69.0,92.0,49.0,70.0,61.99999999999999,68.0,82.0,105.0,43.0,78.99999999999999,55.0,113.0,74.99999999999999,51.0,93.0,86.0,82.0,58.0,88.0,48.0,75.99999999999999,88.0,70.0,77.0,44.0,56.0,98.99999999999999,78.0,56.0,89.99999999999999,67.0,79.0,91.0,59.0,109.0,94.0,96.0,37.0,78.0,104.0,57.99999999999999,54.99999999999999,82.0,61.0,79.0,62.49999999999999,91.0,116.0,98.0,102.99999999999999,104.99999999999999,77.0,112.99999999999999,110.0,93.0,50.0,57.99999999999999,89.99999999999999,84.0,82.0,95.99999999999999,77.99999999999999,58.0,77.99999999999999,66.0,86.99999999999999,97.99999999999999,56.99999999999999,56.99999999999999,89.99999999999999,85.99999999999999,43.0,81.99999999999999,94.0,71.0,85.0,65.0
R_Gen8.jpg_persistence.pkl,51.0,70.0,65.99999999999999,49.0,66.99999999999999,35.0,59.0,59.0,82.49999999999999,47.0,45.0,54.0,36.99999999999999,36.0,77.99999999999999,74.99999999999999,32.0,75.0,0.0,38.99999999999999,42.0,55.0,35.0,45.0,65.0,42.0,36.0,48.0,35.0,39.0,45.99999999999999,51.99999999999999,35.99999999999999,48.99999999999999,51.99999999999999,32.5,58.0,39.0,44.99999999999999,43.0,47.0,48.5,33.99999999999999,43.5,47.0,66.99999999999999,74.0,44.99999999999999,46.0,47.0,42.0,43.0,44.0,42.0,49.0,47.0,29.0,76.0,48.0,45.0,45.99999999999999,39.0,40.0,43.0,55.0,30.999999999999996,38.0,48.0,51.5,53.0,66.0,66.0,67.0,59.0,63.0,76.0,75.0,69.0,51.99999999999999,43.0,36.99999999999999,46.99999999999999,38.0,51.0,36.99999999999999,32.0,41.0,43.0,42.49999999999999,67.0,35.99999999999999,37.99999999999999,45.0,45.0,51.0,35.0,60.0,39.0,45.99999999999999,39.0
R_Gen9.jpg_persistence.pkl,48.0,58.0,74.0,49.0,77.99999999999999,44.0,42.0,63.0,59.0,48.99999999999999,36.0,32.0,36.0,29.0,75.0,51.49999999999999,43.0,55.0,38.99999999999999,0.0,30.0,44.99999999999999,36.0,44.99999999999999,46.0,47.99999999999999,26.0,31.999999999999996,30.0,43.0,50.0,48.0,32.0,43.0,63.0,34.99999999999999,48.0,39.0,31.0,51.0,40.0,36.99999999999999,36.0,35.5,37.0,63.0,72.0,40.0,41.0,44.99999999999999,53.0,31.999999999999996,49.0,30.0,29.999999999999996,45.0,27.0,58.0,56.0,48.99999999999999,37.0,31.0,56.0,33.0,32.0,31.0,32.99999999999999,37.0,44.0,51.0,67.0,58.0,70.0,49.99999999999999,51.0,61.0,60.0,46.0,43.0,34.0,36.0,40.0,34.99999999999999,42.0,33.99999999999999,42.0,44.0,36.0,48.0,63.99999999999999,33.99999999999999,38.0,44.0,51.0,32.99999999999999,37.0,62.0,40.0,36.0,31.999999999999996
R_Goya1.jpg_persistence.pkl,43.99999999999999,68.0,58.0,34.0,59.0,28.999999999999996,44.0,69.0,77.49999999999999,39.0,33.0,37.0,48.99999999999999,38.0,74.0,55.0,56.0,72.0,42.0,30.0,0.0,31.0,27.0,35.0,62.99999999999999,47.99999999999999,27.0,43.99999999999999,36.0,32.0,39.0,53.0,30.999999999999996,45.0,51.0,33.0,68.0,39.0,33.0,32.0,48.99999999999999,47.0,42.0,39.0,36.0,65.99999999999999,80.0,46.0,44.0,45.0,28.0,54.0,32.99999999999999,38.0,33.99999999999999,37.99999999999999,40.0,46.0,42.99999999999999,34.99999999999999,51.0,32.0,43.0,39.0,49.0,28.0,37.0,31.0,46.99999999999999,47.0,52.0,42.0,50.0,48.99999999999999,45.0,50.0,51.0,59.0,58.99999999999999,28.999999999999996,33.0,38.0,31.999999999999996,41.99999999999999,37.0,49.99999999999999,39.99999999999999,28.0,35.0,45.0,40.0,48.0,27.0,30.0,35.0,23.999999999999996,50.0,38.0,40.0,31.0
R_Goya10.jpg_persistence.pkl,26.999999999999996,45.0,35.0,27.999999999999996,38.99999999999999,37.0,57.0,71.99999999999999,54.49999999999999,22.0,39.0,22.0,61.0,44.0,50.99999999999999,52.0,74.0,83.0,55.0,44.99999999999999,31.0,0.0,38.0,45.99999999999999,40.0,56.0,31.0,41.0,48.99999999999999,23.999999999999996,21.999999999999996,61.99999999999999,34.99999999999999,62.99999999999999,30.0,48.0,83.0,29.999999999999996,30.999999999999996,29.0,62.0,53.99999999999999,46.0,40.0,39.0,87.0,83.0,60.99999999999999,48.0,25.0,37.99999999999999,63.99999999999999,29.0,49.0,26.999999999999996,20.0,49.0,43.0,22.0,24.0,57.0,34.0,36.99999999999999,49.99999999999999,43.0,40.0,46.99999999999999,22.0,52.0,27.0,33.5,33.5,34.99999999999999,31.0,29.0,41.99999999999999,43.0,40.99999999999999,69.0,36.0,33.99999999999999,30.999999999999996,38.0,27.999999999999996,41.0,61.0,47.0,21.999999999999996,39.0,27.999999999999996,50.0,48.0,31.999999999999996,29.0,55.0,38.99999999999999,27.0,46.0,30.0,28.999999999999996
